"vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
1,125,63,36.2284418654736,63,63,45.9606,1,125,124,0,-1.22883596190476,3.24037034920393
2,125,36.7944,2.70969894768714,37.2,37.0940594059406,1.92738000000001,20.1,41.7,21.6,-2.30391235799661,10.428024447649,0.242362841823523
3,125,3.1992,0.850189352723187,3.2,3.20891089108911,0.88956,1.3,5.2,3.9,-0.0435306087897981,-0.427892022138423,0.0760432474574236
4,125,12.3504,3.51938466029174,11.7,11.8514851485149,2.66868,7.5,27.1,19.6,1.60932134915055,3.2611841586735,0.314783333575293
5,125,5.7184,4.63330133817374,4.7,4.97425742574257,2.2239,-0.6,36.5,37.1,3.26671670283933,15.7363583854287,0.414415070095889
6,125,-29.1664,1.00329650202108,-29.2,-29.1980198019802,0.889560000000002,-31.3,-26.1,5.2,0.474250540590343,0.560481875198193,0.0897375672042759
7,125,21.80337645776,1.05545315712302,21.83765966,21.8360343528713,0.936905704223999,18.58507034,24.05285434,5.467784,-0.466977201922158,0.547361046127789,0.0944026002557532
8,12,0.25,0,0.25,0.25,0,0.25,0.25,0,NA,NA,0
9,125,63,36.2284418654736,63,63,45.9606,1,125,124,0,-1.22883596190476,3.24037034920393
10,125,4.436256,0.783053894490934,4.571,4.44469306930693,0.6864438,2.597,6.945,4.348,0.0660355651476527,0.595320976958021,0.0700384695251071
11,123,16.6003576166396,3.92563171665895,15.88802378,16.2554115756566,3.71287447823605,10.3619171323333,29.8232733566667,19.4613562243334,0.80117311303618,0.266575717050436,0.353962291579876
